Feature,Coefficient,Odds Ratio
Appcount,0.27285142789572114,1.3137050504011354
City_2,0.18698058835280795,1.2056038820655681
Education,0.1820302086084888,1.1996504331027544
City_0,0.1302140760704832,1.1390722053271756
City_1,0.0936653743512284,1.0981922011478649
Phonegrade,0.08622502447389867,1.0900515889946008
Province_0,0.04290849717450988,1.0438423759537887
Age,0.03922994891677526,1.0400096052383896
Gender,-0.030868312863180772,0.9696032489449108
AgeRange,-0.031183350704255975,0.9692978353416108
Province_1,-0.03743489215709916,0.9632571312732036
Province_2,-0.09038261620469008,0.9135815672787917
Married_Status,-0.3877637997814069,0.6785726033338659
Salary,-0.4049661048507478,0.6669994185201691
FICO,-0.5401742503290254,0.5826467171458048
